# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, mob_C, imm_C, diss_C, seal_C, M_C 
1.236000e+05, 1.098491e+05, 1.039723e+05, 1.692328e-03, 9.091824e-04, 2.563683e-03, 9.410330e-04, 2.692113e-04, 6.229596e-04, 2.660618e-03, 1.382709e-04, 5.368027e-04, 4.611681e-04, 1.506375e-03, 1.945898e-06, 0.000000e+00   
1.242000e+05, 1.098492e+05, 1.039724e+05, 1.692579e-03, 9.112861e-04, 2.569565e-03, 9.452960e-04, 3.014149e-04, 6.546968e-04, 2.749041e-03, 1.609831e-04, 5.368280e-04, 4.632729e-04, 1.508121e-03, 1.945914e-06, 0.000000e+00   
1.248000e+05, 1.098493e+05, 1.039725e+05, 1.692837e-03, 9.135539e-04, 2.575597e-03, 9.500201e-04, 3.496538e-04, 6.751997e-04, 2.831281e-03, 1.863466e-04, 5.368629e-04, 4.654872e-04, 1.509561e-03, 1.945936e-06, 0.000000e+00   
1.254000e+05, 1.098496e+05, 1.039727e+05, 1.693097e-03, 9.158510e-04, 2.581821e-03, 9.550251e-04, 3.888005e-04, 7.062698e-04, 2.911089e-03, 2.117002e-04, 5.369173e-04, 4.677375e-04, 1.510848e-03, 1.945965e-06, 0.000000e+00   
1.260000e+05, 1.098553e+05, 1.039770e+05, 1.693370e-03, 9.183365e-04, 2.589433e-03, 9.615169e-04, 4.601696e-04, 7.262554e-04, 2.965828e-03, 2.426229e-04, 5.368865e-04, 4.699562e-04, 1.512064e-03, 1.946013e-06, 0.000000e+00   
1.266000e+05, 1.098519e+05, 1.039744e+05, 1.693671e-03, 9.203348e-04, 2.596096e-03, 9.667906e-04, 4.988126e-04, 7.575794e-04, 3.043845e-03, 2.642144e-04, 5.370611e-04, 4.720065e-04, 1.513220e-03, 1.946056e-06, 0.000000e+00   
1.272000e+05, 1.098555e+05, 1.039772e+05, 1.694014e-03, 9.223663e-04, 2.604920e-03, 9.740003e-04, 5.804539e-04, 7.739227e-04, 3.088135e-03, 2.924178e-04, 5.371428e-04, 4.739117e-04, 1.514422e-03, 1.946126e-06, 0.000000e+00   
1.278000e+05, 1.098568e+05, 1.039781e+05, 1.694346e-03, 9.238881e-04, 2.612370e-03, 9.793272e-04, 6.196572e-04, 8.036986e-04, 3.164612e-03, 3.104177e-04, 5.372833e-04, 4.754223e-04, 1.515957e-03, 1.946181e-06, 0.000000e+00   
1.284000e+05, 1.098564e+05, 1.039778e+05, 1.694732e-03, 9.253348e-04, 2.621727e-03, 9.865148e-04, 7.013107e-04, 8.153606e-04, 3.211126e-03, 3.392180e-04, 5.374837e-04, 4.768034e-04, 1.517131e-03, 1.946265e-06, 0.000000e+00   
1.290000e+05, 1.098591e+05, 1.039798e+05, 1.695072e-03, 9.266217e-04, 2.631267e-03, 9.935819e-04, 7.664654e-04, 8.410531e-04, 3.258754e-03, 3.602866e-04, 5.376048e-04, 4.779689e-04, 1.518353e-03, 1.946352e-06, 0.000000e+00   
1.296012e+05, 1.098556e+05, 1.039772e+05, 1.695384e-03, 9.276528e-04, 2.641084e-03, 1.000750e-03, 8.390183e-04, 8.616271e-04, 3.302725e-03, 3.890280e-04, 5.378136e-04, 4.790468e-04, 1.519164e-03, 1.946447e-06, 0.000000e+00   
1.302000e+05, 1.098647e+05, 1.039847e+05, 1.695807e-03, 9.286143e-04, 2.651034e-03, 1.007963e-03, 9.080458e-04, 8.861410e-04, 3.345007e-03, 4.144555e-04, 5.379725e-04, 4.798624e-04, 1.520084e-03, 1.946555e-06, 0.000000e+00   
